,LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedConferenceTitle,ClinchedDivisionTitle,ClinchedPlayoffBirth,EliminatedConference,EliminatedDivision,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,PreAS,PostAS
17,00,22025,1610612755,Philadelphia,76ers,East,10-9,9,,Atlantic,5-2,4,11,9,0.55,,11-9,6-6,5-3,5-5,4-6,5-3,2-1,3-3,5-3,-4,L 4,3,W 3,4,2,1,W 1,2,W 2,1,W 1,5.5,3.0,,,,,,8-4,3-5,0-0,5-3,6-6,0-0,11-9,11-9,4-8,7-1,4-3,8-2,118.0,118.0,0.0,10-9,5-2,1-4,4-3,1-0,0-0,1-0,0-0,,,,,,,,,,4-1,6-8,1-0,11-9,
18,00,22025,1610612757,Portland,Trail Blazers,West,7-9,10,,Northwest,3-3,4,8,13,0.381,,8-13,3-6,5-7,2-8,3-6,4-6,0-1,3-3,3-4,-4,L 4,2,W 2,3,4,-4,L 4,-1,L 1,-3,L 3,12.5,12.5,,,,,,4-5,4-8,0-0,5-3,3-10,0-0,8-12,8-13,6-11,3-1,4-4,4-5,118.0,121.0,-3.0,1-4,0-1,1-1,0-2,7-9,3-3,3-3,1-3,,,,,,,,,,4-2,4-10,0-1,8-13,
19,00,22025,1610612741,Chicago,Bulls,East,6-8,10,,Central,1-4,3,9,11,0.45,,9-11,6-2,3-9,3-7,6-2,2-8,0-1,4-2,3-5,5,W 5,-5,L 5,5,5,1,W 1,-4,L 4,-4,L 4,7.5,7.5,,,,,,4-3,5-7,0-1,7-4,2-6,0-1,9-11,8-11,5-6,7-5,5-3,2-2,120.0,123.0,-3.0,6-8,2-1,1-4,3-3,3-3,2-1,1-0,0-2,,,,,,,,,,5-0,4-10,0-1,9-11,
20,00,22025,1610612762,Utah,Jazz,West,4-10,11,,Northwest,0-4,5,7,13,0.35,,7-13,6-6,1-7,4-6,4-6,1-7,2-0,2-3,2-9,2,W 2,-4,L 4,1,4,1,W 1,-4,L 4,1,W 1,13.0,13.0,,,,,,5-4,2-9,0-0,6-0,1-12,0-1,7-11,7-13,3-10,5-1,6-6,2-2,118.0,125.0,-7.0,3-3,1-0,2-1,0-2,4-10,0-4,3-5,1-1,,,,,,,,,,2-3,4-10,1-0,7-13,
21,00,22025,1610612749,Milwaukee,Bucks,East,7-9,11,,Central,2-3,4,9,13,0.409,,9-13,6-6,3-7,2-8,4-6,3-7,1-1,2-3,6-6,-4,L 4,-5,L 5,2,7,1,W 1,-5,L 5,-1,L 1,8.5,8.5,,,,,,5-5,4-8,0-0,7-3,1-10,1-0,9-12,8-13,5-8,8-7,3-1,5-4,116.0,118.0,-2.0,7-9,3-3,2-3,2-3,2-4,0-1,1-2,1-1,,,,,,,,,,4-1,5-11,0-1,9-13,
22,00,22025,1610612742,Dallas,Mavericks,West,4-10,12,,Southwest,1-5,4,7,15,0.318,,7-15,4-9,3-5,4-6,3-7,3-5,1-1,2-3,2-6,-4,L 4,-3,L 3,2,4,-1,L 1,2,W 2,2,W 2,14.0,8.0,,,,,,2-4,5-11,0-0,2-2,3-13,2-0,7-10,7-15,3-10,6-2,3-5,2-5,111.0,116.0,-5.0,3-5,1-1,1-2,1-2,4-10,2-2,1-3,1-5,,,,,,,,,,2-3,4-12,1-0,7-15,
23,00,22025,1610612766,Charlotte,Hornets,East,5-10,12,,Southeast,1-4,4,6,15,0.286,,6-15,5-6,1-9,2-8,4-6,1-9,1-1,0-2,4-10,-3,L 3,-8,L 8,2,7,2,W 2,-8,L 8,-1,L 1,11.0,8.0,,,,,,4-3,2-11,0-1,4-2,2-13,0-0,6-14,6-15,5-9,3-2,5-10,2-3,115.0,120.0,-5.0,5-10,2-4,2-2,1-4,1-5,1-2,0-2,0-1,,,,,,,,,,2-3,4-11,0-1,6-15,
24,00,22025,1610612758,Sacramento,Kings,West,4-14,13,,Pacific,1-3,4,5,16,0.238,,5-16,3-7,2-9,2-8,3-7,2-8,1-0,2-0,0-10,-4,L 4,-5,L 5,2,8,-2,L 2,-1,L 1,-3,L 3,15.5,10.5,,,,,,1-3,4-11,0-2,3-3,2-13,0-0,5-14,5-16,5-13,4-3,2-2,5-9,112.0,123.0,-11.0,1-2,0-0,1-1,0-1,4-14,3-8,1-3,0-3,,,,,,,,,,1-4,4-12,,5-16,
25,00,22025,1610612751,Brooklyn,Nets,East,4-13,13,,Atlantic,1-7,5,4,16,0.2,,4-16,1-9,3-7,3-7,1-9,3-7,0-0,0-0,2-13,-9,L 9,-3,L 3,1,7,1,W 1,-2,L 2,1,W 1,12.5,10.0,,,,,,2-1,1-15,1-0,3-1,1-15,0-0,4-12,4-16,1-12,4-1,2-4,2-4,109.0,118.0,-10.0,4-13,1-7,1-3,2-3,0-3,0-1,0-0,0-2,,,,,,,,,,0-5,3-11,1-0,4-16,
26,00,22025,1610612754,Indiana,Pacers,East,3-9,14,,Central,1-5,5,4,17,0.19,,4-17,4-7,0-10,3-7,4-6,0-10,0-1,1-3,1-10,-3,L 3,-10,L 10,2,8,-1,L 1,-10,L 10,-1,L 1,13.0,13.0,,,,,,3-3,1-14,0-0,3-1,1-16,0-0,4-14,3-16,2-13,4-1,2-5,2-6,110.0,119.0,-9.0,3-9,0-3,1-5,2-1,1-8,0-4,1-2,0-2,,,,,,,,,,0-5,4-11,0-1,4-17,
27,00,22025,1610612746,LA,Clippers,West,4-9,14,,Pacific,1-4,5,5,16,0.238,,5-16,3-7,2-9,2-8,3-7,2-8,1-0,1-4,2-10,-7,L 7,-3,L 3,2,6,-7,L 7,-3,L 3,-5,L 5,15.5,10.5,,,,,,4-8,1-7,0-1,5-2,0-13,0-1,5-15,5-15,2-11,5-3,3-5,3-3,112.0,119.0,-6.0,1-7,0-2,0-1,1-4,4-9,1-3,1-4,2-2,,,,,,,,,,3-2,2-13,0-1,5-16,
28,00,22025,1610612740,New Orleans,Pelicans,West,1-17,15,,Southwest,1-5,5,3,19,0.136,,3-19,2-10,1-9,1-9,2-8,1-9,0-3,1-2,1-9,-6,L 6,-5,L 5,2,9,-2,L 2,-5,L 5,-4,L 4,18.0,12.0,,,,,,3-6,0-13,0-0,2-2,1-16,0-1,3-14,2-19,1-16,2-3,2-6,2-7,113.0,123.0,-11.0,2-2,0-1,1-0,1-1,1-17,0-6,0-6,1-5,,,,,,,,,,0-5,3-13,0-1,3-19,
29,00,22025,1610612764,Washington,Wizards,East,2-13,15,,Southeast,1-2,5,3,17,0.15,,3-17,2-6,1-11,2-8,2-6,0-10,0-2,1-2,2-13,-6,L 6,-10,L 10,1,14,2,W 2,-10,L 10,-1,L 1,13.5,10.5,,,,,,2-3,1-14,0-0,2-4,1-13,0-0,3-15,3-17,1-12,2-6,1-4,3-1,113.0,127.0,-14.0,2-13,0-6,1-5,1-2,1-4,0-2,0-0,1-2,,,,,,,,,,1-4,1-12,1-1,3-17,
